"city","tag","date","time","pit_notes"
985,153000403340,"2016-05-29","12:13:44",NULL
985,153000355520,"2016-05-31","13:33:10",NULL
985,153000400062,"2016-05-16","14:01:56",NULL
985,153000402348,"2016-05-27","10:27:22",NULL
985,153000401033,"2016-06-02","10:09:37",NULL
982,"000411818458","2017-05-28","12:47:15",NULL
985,153000401024,"2016-06-15","09:05:41",NULL
985,153000400989,"2016-05-16","10:37:13",NULL
985,153000404140,"2015-06-13","09:11:32",NULL
986,112100177614,"2017-05-19","11:22:50",NULL
985,153000369891,"2015-06-14","13:36:14",NULL
985,153000402985,"2016-05-17","12:04:26",NULL
985,153000407247,"2016-05-25","14:40:21",NULL
985,153000400988,"2016-06-04","09:16:43",NULL
986,112100165834,"2017-06-15","09:30:57",NULL
985,153000400963,"2016-05-21","08:53:59",NULL
985,153000373373,"2016-06-14","10:24:27",NULL
985,153000400925,"2016-05-17","10:43:11",NULL
986,112100168109,"2016-06-14","13:17:30",NULL
986,112100172557,"2016-06-14","13:58:25",NULL
985,153000400903,"2016-05-16","11:07:39",NULL
985,153000370820,"2015-06-14","10:24:59",NULL
986,112100168215,"2017-05-29","12:08:49",NULL
985,153000400801,"2016-05-21","13:33:46",NULL
